Sampel,Referen (Truth),Prediksi (Zero-Shot)
Sampel 1,manusia sadonyo lahia ka dunia mambao hak hak dan kamardekaan mandasar nan samo dan indak dapek dipisahkan,manusia sadayoyoyoyo lah ya kadunya membu hakak dan kamar di kean mandasar dan sama dan indak dapat dipisahkan
Sampel 2,limbago perserikatan bangsa bangsa batekad untuak manjunjuang tinggi,lim bago per serikatan bangsa bangsa padekat untuk menjulmjulm tinggi
Sampel 3,manggiatkan dan malinduangi hak hak asasi tiok urang,manggiatkan dan malindungi hak hak asasi tiap orang
Sampel 4,tekad ko bamulo dari piagam perserikatan bangsa bangsa,tekat ko bambuloh dari piagam perserikatan bangsabangsa
Sampel 5,nan mangukuahkan kayakinan umat manusia di dunia taradok hak hak asasi dan martabat nan mandasar sarato nilai manusia sacaro pribadi,mengukuhakan kaya kinen umat manusia di dunia teradok hakhak asasi dan martapat nanda serasar atau nilai manusia secara pribadi
Sampel 6,dalam deklarasi sadunia hak hak asasi manusia,dalam rekerasi sadunya hakak asasi manusia
Sampel 7,perserikatan bangsa bangsa mauraikan sacaro jaleh hak hak nan dimiliki tiok urang,percerikatan bahasa bangsa mau raihkan secara jala hak hak dan dimiliki tiok urang
Sampel 8,hak hak ko adolah milik awak,ha ha ko adola milik awak
Sampel 9,itulah hak hak awak,itu lah awak
Sampel 10,bantulah mawujudkan dan mampatahankannyo untuak diri awak surang atau pun untuak sasamo umat manusia,bandula mau ujutkan dan mempatahkan yo untuk diri awak surang atau pun untuk asas sama umat manisyo
Sampel 11,deklarasi sadunia hak hak asasi manusia mukadimah sasungguahnyo pangakuan taradok martabat dasar dan hak hak nan samo sarato mutlak dari tiok anggota kaluarga manusia adolah landasan dari kamardekaan,deklarasi sadunya hakak manusia mukadima sesungguhnya pengakuan taradok martabat desar dan hakak dan sama saratom butlak dari tiok anggota keluarga manusia adolah landasan dari kamer dkn
Sampel 12,kaadilan dan pardamaian di dunia,keadilan dan pak damayan di dunia
Sampel 13,sasungguahnyo sikap tak paduli dan malecehkan hak hak asasi manusia tabukti mangakibatkan parilaku biadab nan sangat malukoi nurani umat manusia,sesungguhnya sikap tak paduli dan malah cekkan hakak asasi manusia tabuki manga kibatakan pari laku biadap dan sangat malu koi nurani umat manusia
Sampel 14,dan alah dicanangkannyo suatu dunia di ma tiok urang dapek manikmati kabebasan manyampaikan pandapek,dan alah di canang kanyo suatu dunia di mata tiok orang dapat manik mati kabebasan manyangpai kan pandapnya
Sampel 15,bakayakinan,bakaian ke nanti
Sampel 16,sabagai cito cito paliang tinggi dari sadonyo urang,sebagai citocito pali yang tinggi dari sadunya orang
Sampel 17,sasungguahnyo supayo urang indak tapaso mamiliah barontak sabagai usaho pangabisan untuak manantang kazaliman dan panindasan,seseungguhnya supaya kurang indak tapas o mamiliya barontak sebagai usaha pengabisan untuk menantang kajaliman dan panindasan
Sampel 18,hak hak asasi manusia paralu dijamin malalui tartib hukum,hakak asesimanusia para lu dijamin malah lui terti buku
Sampel 19,sasungguahnyo paralu bana mamajukan pangambangan hubuangan basahabat di antaro banso banso di dunia,sesungguhnya paralu bana mamajukan panggambangan hubungan bahasa habat di antarobansobanso di dunia
Sampel 20,sasungguahnyo dalam piagam perserikatan bangsa bangsa sadonyo anggota alah mangukuahkan baliak kayakinan taradok hak hak asasi manusia nan mandasar,sesungguhnya dalam piagam perserikatan bangsabangsa sadunya anggota ala mengukuhakan baliak kaya kenan tarado khakak asasi manusia dan mandasara
Sampel 21,taradok martabat dan nilai tiok urang,tarah dok martabat dan nilai tiap urang
Sampel 22,dan taradok hak hak nan samo dari laki laki jo padusi,dan taradok hakhak nanti sama dari lagilaki yo padusi
Sampel 23,dan batekad untuak mandorong kamajuan sosial sarato taraf iduik nan labiah elok dalam kamardekaan nan labiah gadang,dan patekat untuk mandorong kamu ajuan sosial serato tarof iduik dan labia elo dalam kamer dkn dan labia gadang
Sampel 24,sasungguahnyo ikrar negara negara anggota,susungguhnya iklar negaranegara anggota
Sampel 25,bakarajo samo jo perserikatan bangsa bangsa,bakar ayo sama yuk per sedekatan bangsa bangsa
Sampel 26,untuak mamajukan panghormatan taradok hak hak asasi manusia dan kamardekaan nan mandasar,untuk memajukan panggur matang tarah dokkhak asasi manusia dan kamerdekaan nama dasar
Sampel 27,sasungguahnyo paralu bana adonyo pamahaman nan samo tantang hak hak dan kabebasan kabebasan ko supayo dapek diwujudkan saluruahnyo sasuai jo ikrar,seseungguhnya pahal bana ada yau pemahaman dan sama tantang hakak dan kabebasan kabebasan koh supaya dapat diwujutkan seluruh ahni sasuai yau ikrar
